Step 0 | loss:1.9644970893859863 lr:0.0 gpu_resources:16825224192
Step 0 | peak_memory_active:17.349010432 peak_memory_alloc:17.349010432 peak_memory_reserved:19.49302784
Step 0 | loss:1.9977047443389893 lr:0.0 gpu_resources:16700794880
Step 0 | peak_memory_active:17.115318272 peak_memory_alloc:17.115318272 peak_memory_reserved:19.49302784
Step 0 | loss:1.889967918395996 lr:0.0 gpu_resources:16818002944
Step 0 | peak_memory_active:17.335131136 peak_memory_alloc:17.335131136 peak_memory_reserved:19.49302784
Step 0 | loss:2.536306858062744 lr:0.0 gpu_resources:16718727168
Step 0 | peak_memory_active:17.149667328 peak_memory_alloc:17.149667328 peak_memory_reserved:19.49302784
Step 0 | loss:1.722204327583313 lr:0.0 gpu_resources:16825224192
Step 0 | peak_memory_active:17.349010432 peak_memory_alloc:17.349010432 peak_memory_reserved:19.49302784
Step 0 | loss:1.9993131160736084 lr:0.0 gpu_resources:16798833664
Step 0 | peak_memory_active:17.299545088 peak_memory_alloc:17.299545088 peak_memory_reserved:19.49302784
Step 0 | loss:2.4153523445129395 lr:0.0 gpu_resources:16593388032
Step 0 | peak_memory_active:16.934035968 peak_memory_alloc:16.934035968 peak_memory_reserved:19.49302784
Step 0 | loss:2.033008337020874 lr:0.0 gpu_resources:16825224192
Step 0 | peak_memory_active:17.349010432 peak_memory_alloc:17.349010432 peak_memory_reserved:19.49302784
Step 0 | loss:2.2281744480133057 lr:0.0 gpu_resources:16698824704
Step 0 | peak_memory_active:17.111296 peak_memory_alloc:17.111296 peak_memory_reserved:19.49302784
Step 0 | loss:1.946717619895935 lr:0.0 gpu_resources:16825224192
Step 0 | peak_memory_active:17.349010432 peak_memory_alloc:17.349010432 peak_memory_reserved:19.49302784
Step 0 | loss:1.9090503454208374 lr:0.0 gpu_resources:16822004736
Step 0 | peak_memory_active:17.34323712 peak_memory_alloc:17.34323712 peak_memory_reserved:19.49302784
Step 0 | loss:1.857041835784912 lr:0.0 gpu_resources:16825224192
Step 0 | peak_memory_active:17.349010432 peak_memory_alloc:17.349010432 peak_memory_reserved:19.49302784
Step 0 | loss:2.9151971340179443 lr:0.0 gpu_resources:16559099392
Step 0 | peak_memory_active:16.87307008 peak_memory_alloc:16.87307008 peak_memory_reserved:19.49302784
Step 0 | loss:2.9487643241882324 lr:0.0 gpu_resources:16540970496
Step 0 | peak_memory_active:16.840576512 peak_memory_alloc:16.840576512 peak_memory_reserved:19.49302784
Step 0 | loss:1.8435567617416382 lr:0.0 gpu_resources:16825224192
Step 0 | peak_memory_active:17.349010432 peak_memory_alloc:17.349010432 peak_memory_reserved:19.49302784
Step 0 | loss:1.827117919921875 lr:0.0 gpu_resources:16737380352
Step 0 | peak_memory_active:17.18473728 peak_memory_alloc:17.18473728 peak_memory_reserved:19.49302784
Step 0 | loss:2.260349750518799 lr:0.0 gpu_resources:16739727360
Step 0 | peak_memory_active:17.189136384 peak_memory_alloc:17.189136384 peak_memory_reserved:19.49302784
Step 0 | loss:3.4681460857391357 lr:0.0 gpu_resources:16431409152
Step 0 | peak_memory_active:16.634566656 peak_memory_alloc:16.634566656 peak_memory_reserved:19.49302784
Step 0 | loss:2.441058397293091 lr:0.0 gpu_resources:16696231936
Step 0 | peak_memory_active:17.106651136 peak_memory_alloc:17.106651136 peak_memory_reserved:19.49302784
Step 0 | loss:2.22495174407959 lr:0.0 gpu_resources:16825224192
Step 0 | peak_memory_active:17.349010432 peak_memory_alloc:17.349010432 peak_memory_reserved:19.49302784
Step 0 | loss:2.0123205184936523 lr:0.0 gpu_resources:16782748672
Step 0 | peak_memory_active:17.269095424 peak_memory_alloc:17.269095424 peak_memory_reserved:19.49302784
Step 0 | loss:1.8107056617736816 lr:0.0 gpu_resources:16825224192
Step 0 | peak_memory_active:17.349010432 peak_memory_alloc:17.349010432 peak_memory_reserved:19.49302784
Step 0 | loss:2.5208263397216797 lr:0.0 gpu_resources:16746059776
Step 0 | peak_memory_active:17.199572992 peak_memory_alloc:17.199572992 peak_memory_reserved:19.49302784
